x	y	cluster	words
1.182397	19.576202	12	defiance
43.411373	18.645588	19	detailed
-2.0015607	-18.28471	10	preceding
-6.9183235	-30.20201	4	might
5.704588	23.61081	19	exchanged
-7.4235635	-42.005226	10	pressing
35.052876	5.437194	2	_expression_
-40.515285	-47.42877	10	rejoicing
-16.596498	-42.128563	2	viewed
-31.571772	34.109097	2	strangely
-2.9009418	-4.8921127	12	shake
3.3831499	9.559237	0	collection
15.681097	-7.917632	16	day
-7.7569194	-23.26821	16	few
-42.59733	-34.37884	2	b
54.727505	32.405132	12	_insist_
-18.681767	-39.31025	10	habits
46.65197	18.863806	19	reporting
-49.75021	-2.834548	2	extracts
12.047224	2.0729818	10	respects
-51.147503	-22.011759	2	debt
-51.981117	2.9157815	2	awoke
28.698513	34.286034	2	faint
10.973171	-11.569595	19	vogue
-7.430868	56.339397	2	yards
27.801933	-12.670589	2	accents
-48.771507	-33.26706	12	unassuming
-29.025593	34.421936	0	fun
-27.511017	-50.373684	10	per
49.665417	16.538355	0	lessen
20.450274	16.126331	10	smallest
-37.35879	-46.630035	2	sensibility
13.01598	-10.266094	2	warrant
6.3204055	9.508301	12	Release
-42.564747	24.512144	10	AGREE
48.93452	29.786901	2	pursuing
28.645622	9.232467	8	resentment
-4.631769	-32.952087	2	privileged
-17.649733	-46.265465	12	defend
35.041935	6.8808937	19	theirs
-2.2126548	-3.3344162	12	represent
15.493229	-4.4930215	2	bold
-16.993462	-36.92552	12	aught
34.376293	17.59921	2	valued
-39.94746	-28.285225	14	prevent
-20.462591	44.02769	19	vexing
34.590622	19.233507	19	foreseen
-34.61036	-47.018673	2	Neglect
-8.409271	-13.753985	10	King
-6.3771443	7.1086245	10	ceased
21.311115	4.7964215	3	equal
34.19673	22.576757	2	bribery
19.721363	27.809895	0	proof
11.217683	9.710827	2	appointed
12.306356	-4.2191606	2	incensed
-16.151567	-27.217468	12	deceive
4.7651143	4.1057734	19	magistrate
-18.667887	-49.83575	2	insufferably
